brand,processor,ram_gb,storage_gb,storage_type,gpu,screen_size_inch,refresh_rate_hz,battery_wh,weight_kg,has_touchscreen,os,price_idr
HP,AMD Ryzen 3,8,1024,HDD,Integrated,17.3,120,61.8,3.04,0,Linux,2700000
Dell,AMD Ryzen 3,16,256,SSD,AMD Radeon RX 6600,14.0,60,84.3,1.61,0,Chrome OS,5400000
Lenovo,AMD Ryzen 9,8,512,NVMe SSD,AMD Radeon RX 6600,11.6,60,30.0,2.23,0,Windows 10,10900000
Lenovo,AMD Ryzen 9,32,256,HDD,NVIDIA RTX 4060,15.6,144,37.1,1.84,0,Windows 11,24300000
Dell,Intel Core i9,16,1024,NVMe SSD,AMD Radeon RX 6600,15.6,120,77.3,1.2,0,Windows 10,25300000
Acer,AMD Ryzen 3,64,1024,HDD,NVIDIA RTX 3070,11.6,90,77.3,3.35,0,Linux,18000000
HP,AMD Ryzen 3,16,512,HDD,Integrated,11.6,144,63.3,1.19,0,Windows 10,3800000
Dell,Intel Core i5,32,1024,HDD,Integrated,17.3,60,45.1,2.66,0,Chrome OS,8400000
Samsung,AMD Ryzen 9,16,2048,SSD,NVIDIA RTX 3060,15.6,165,57.7,2.75,0,Linux,33800000
Razer,Intel Core i3,16,256,SSD,NVIDIA RTX 4060,13.3,60,31.0,1.89,0,Windows 10,8600000
Dell,AMD Ryzen 5,8,1024,NVMe SSD,NVIDIA RTX 3050,15.6,120,30.7,2.11,1,Windows 11,9200000
Asus,AMD Ryzen 9,16,256,NVMe SSD,NVIDIA GTX 1650,17.3,60,55.7,1.37,0,Chrome OS,10100000
Razer,Intel Core i3,8,512,NVMe SSD,NVIDIA GTX 1650,14.0,120,76.4,2.33,1,Linux,6800000
Apple,Apple M2,8,256,NVMe SSD,Apple GPU,14.0,90,79.7,3.34,0,macOS,23300000
Apple,Apple M2,64,256,NVMe SSD,Apple GPU,15.6,60,68.1,3.4,0,macOS,76100000
Toshiba,Intel Core i7,16,256,NVMe SSD,NVIDIA GTX 1650,16.0,120,66.9,3.26,0,Windows 11,7300000
Asus,Intel Core i3,8,512,SSD,NVIDIA RTX 3060,11.6,90,78.3,2.69,1,Linux,3900000
Lenovo,Intel Core i5,8,1024,SSD,NVIDIA RTX 3070,13.3,120,68.3,1.37,0,Windows 10,9400000
MSI,AMD Ryzen 9,16,256,NVMe SSD,NVIDIA RTX 3070,14.0,240,85.5,3.12,0,Chrome OS,20000000
Acer,Intel Core i7,8,128,NVMe SSD,AMD Radeon RX 6600,17.3,165,43.3,2.96,1,Linux,5200000
Acer,Intel Core i5,32,1024,HDD,AMD Radeon RX 6600,15.6,60,47.3,2.57,0,Windows 10,15500000
MSI,Intel Core i5,8,512,HDD,NVIDIA RTX 3060,14.0,120,33.2,3.0,0,Windows 10,7200000
MSI,AMD Ryzen 3,16,512,HDD,Integrated,13.3,240,93.1,1.3,1,Linux,7000000
Apple,Apple M1,8,128,NVMe SSD,Apple GPU,14.0,144,96.6,2.4,0,macOS,13200000
Dell,Intel Core i9,16,256,SSD,NVIDIA RTX 3050,13.3,144,91.4,3.43,0,Windows 11,12500000
Asus,Intel Core i3,8,512,HDD,NVIDIA GTX 1650,14.0,144,69.4,2.01,0,Windows 10,3500000
Apple,Apple M1,32,512,NVMe SSD,Apple GPU,15.6,60,87.6,3.21,0,macOS,53600000
Apple,Apple M1,8,1024,NVMe SSD,Apple GPU,11.6,60,58.7,3.01,1,macOS,29100000
Lenovo,AMD Ryzen 9,16,512,NVMe SSD,NVIDIA GTX 1650,16.0,60,49.8,2.01,0,Chrome OS,13300000
Acer,Intel Core i7,8,256,NVMe SSD,AMD Radeon RX 6600,14.0,60,91.8,1.03,0,Chrome OS,3800000
HP,Intel Core i9,32,512,HDD,Integrated,17.3,60,52.8,2.75,1,Linux,14400000
MSI,Intel Core i9,16,256,HDD,NVIDIA RTX 4060,14.0,60,59.0,2.86,0,Linux,15500000
Razer,Intel Core i3,8,512,SSD,NVIDIA GTX 1650,15.6,144,74.3,1.24,0,Linux,5300000
Asus,AMD Ryzen 5,16,512,NVMe SSD,NVIDIA GTX 1650,11.6,60,38.5,1.23,1,Chrome OS,6700000
Lenovo,Intel Core i5,8,2048,SSD,NVIDIA RTX 3070,14.0,90,38.3,2.89,0,Windows 11,11600000
Toshiba,Intel Core i9,4,1024,SSD,NVIDIA RTX 3060,14.0,90,30.8,2.73,1,Chrome OS,7400000
Dell,AMD Ryzen 9,16,512,NVMe SSD,NVIDIA RTX 3070,14.0,60,60.1,1.7,0,Linux,21700000
Dell,AMD Ryzen 7,16,256,NVMe SSD,NVIDIA RTX 4060,17.3,165,73.7,2.39,1,Windows 10,17100000
Lenovo,Intel Core i9,16,256,HDD,NVIDIA RTX 3060,14.0,90,43.4,1.97,1,Chrome OS,10100000
Samsung,Intel Core i3,16,256,HDD,NVIDIA GTX 1650,13.3,144,44.4,1.89,1,Windows 10,5000000
Apple,Apple M2,16,1024,SSD,Apple GPU,15.6,240,49.4,1.62,0,macOS,64900000
Asus,Intel Core i5,64,512,HDD,NVIDIA GTX 1650,13.3,60,79.3,2.0,0,Windows 10,12600000
HP,Intel Core i7,8,512,SSD,NVIDIA RTX 3050,17.3,165,40.1,2.45,0,Windows 11,8600000
Dell,Intel Core i7,16,512,NVMe SSD,NVIDIA RTX 3050,17.3,144,97.6,1.55,0,Chrome OS,11800000
MSI,AMD Ryzen 5,32,1024,SSD,NVIDIA RTX 3050,13.3,165,61.4,2.49,0,Chrome OS,16900000
Asus,Intel Core i3,8,512,NVMe SSD,NVIDIA RTX 3060,11.6,144,45.4,2.79,0,Windows 11,6100000
MSI,AMD Ryzen 5,16,256,SSD,NVIDIA GTX 1650,15.6,60,82.4,3.28,0,Windows 11,8500000
Toshiba,Intel Core i7,16,512,HDD,NVIDIA RTX 3060,13.3,165,80.0,1.14,0,Chrome OS,7600000
Dell,Intel Core i3,8,1024,HDD,NVIDIA RTX 4060,14.0,120,62.1,2.81,0,Windows 11,8100000
HP,Intel Core i9,32,512,HDD,AMD Radeon RX 6600,17.3,60,82.0,2.82,0,Linux,21000000
Toshiba,Intel Core i3,32,256,SSD,NVIDIA RTX 3070,15.6,144,55.8,3.23,0,Windows 11,10900000
MSI,AMD Ryzen 7,32,256,NVMe SSD,NVIDIA GTX 1650,13.3,60,65.0,2.94,0,Chrome OS,11900000
MSI,AMD Ryzen 7,4,256,SSD,NVIDIA RTX 3050,11.6,60,83.5,1.97,0,Windows 11,4400000
Acer,Intel Core i3,16,1024,HDD,NVIDIA RTX 3060,15.6,165,61.2,3.0,0,Windows 10,7900000
Samsung,AMD Ryzen 5,8,1024,HDD,NVIDIA RTX 3070,11.6,144,88.0,1.46,1,Windows 11,9300000
Toshiba,AMD Ryzen 7,8,512,HDD,Integrated,14.0,144,88.0,1.81,0,Chrome OS,3600000
Apple,Apple M2,16,512,SSD,Apple GPU,17.3,144,50.7,2.09,0,macOS,45900000
Asus,AMD Ryzen 7,16,1024,SSD,NVIDIA RTX 3070,17.3,60,41.3,1.12,0,Chrome OS,13400000
Toshiba,Intel Core i7,16,512,SSD,NVIDIA GTX 1650,13.3,60,66.3,2.48,0,Windows 10,6900000
Samsung,AMD Ryzen 9,16,512,HDD,NVIDIA RTX 3070,14.0,60,77.5,1.97,1,Linux,18100000
Lenovo,Intel Core i7,16,512,HDD,NVIDIA RTX 4060,16.0,90,78.8,2.19,1,Windows 11,15800000
Acer,Intel Core i5,16,512,SSD,AMD Radeon RX 6600,11.6,90,72.8,3.13,0,Linux,7500000
Acer,AMD Ryzen 7,16,512,SSD,Integrated,11.6,60,62.6,3.17,0,Chrome OS,5400000
HP,Intel Core i7,16,128,HDD,Integrated,17.3,60,57.1,2.99,1,Windows 10,3400000
Samsung,AMD Ryzen 5,16,2048,NVMe SSD,NVIDIA RTX 3060,15.6,120,68.2,3.45,0,Windows 10,21500000
Samsung,AMD Ryzen 7,8,128,NVMe SSD,NVIDIA RTX 3060,14.0,144,95.1,1.89,1,Windows 10,6800000
Razer,Intel Core i5,16,512,HDD,AMD Radeon RX 6600,13.3,120,84.7,2.85,1,Windows 11,13200000
Apple,Apple M1,8,256,NVMe SSD,Apple GPU,14.0,120,60.3,2.91,1,macOS,19000000
Toshiba,Intel Core i5,8,512,SSD,NVIDIA RTX 3050,11.6,165,46.9,1.46,0,Windows 11,4400000
Asus,Intel Core i7,32,512,NVMe SSD,NVIDIA RTX 3060,11.6,165,49.0,2.7,0,Windows 10,21100000
Asus,AMD Ryzen 3,16,1024,HDD,NVIDIA RTX 4060,13.3,144,76.3,3.02,1,Windows 10,10100000
Samsung,Intel Core i3,4,1024,SSD,AMD Radeon RX 6600,14.0,144,87.7,2.54,1,Windows 11,6200000
Razer,AMD Ryzen 9,32,2048,NVMe SSD,NVIDIA RTX 3050,17.3,144,36.6,2.84,1,Windows 10,79000000
HP,Intel Core i7,8,2048,HDD,AMD Radeon RX 6600,14.0,60,55.2,2.94,0,Linux,11700000
Acer,Intel Core i7,32,512,NVMe SSD,NVIDIA RTX 4060,15.6,120,32.7,3.08,0,Windows 10,26400000
Toshiba,Intel Core i7,16,1024,HDD,NVIDIA RTX 3060,13.3,120,79.5,1.91,0,Windows 11,13000000
Samsung,Intel Core i5,16,512,HDD,NVIDIA RTX 3060,16.0,144,98.7,2.59,1,Linux,9900000
Lenovo,AMD Ryzen 7,32,512,NVMe SSD,NVIDIA GTX 1650,11.6,120,75.1,3.43,0,Windows 10,16500000
Asus,AMD Ryzen 7,8,128,NVMe SSD,Integrated,13.3,60,76.7,3.08,0,Chrome OS,2600000
Samsung,AMD Ryzen 5,16,512,SSD,NVIDIA RTX 4060,17.3,120,91.7,2.42,1,Chrome OS,14800000
MSI,AMD Ryzen 5,8,128,NVMe SSD,NVIDIA RTX 3060,13.3,165,35.9,2.48,1,Chrome OS,4300000
Samsung,AMD Ryzen 3,64,128,HDD,AMD Radeon RX 6600,13.3,165,78.4,2.47,0,Linux,9800000
Acer,Intel Core i9,64,1024,HDD,AMD Radeon RX 6600,13.3,60,95.7,1.12,0,Chrome OS,28400000
Dell,Intel Core i5,8,2048,NVMe SSD,NVIDIA GTX 1650,17.3,60,41.6,1.2,0,Windows 10,9800000
Samsung,AMD Ryzen 9,8,512,NVMe SSD,NVIDIA GTX 1650,16.0,60,34.4,1.45,1,Chrome OS,10700000
Samsung,AMD Ryzen 7,8,512,NVMe SSD,NVIDIA GTX 1650,17.3,60,39.6,2.41,0,Windows 10,8400000
HP,AMD Ryzen 7,64,512,NVMe SSD,Integrated,13.3,60,49.7,1.85,0,Windows 11,19900000
Asus,AMD Ryzen 5,32,2048,NVMe SSD,AMD Radeon RX 6600,11.6,90,95.8,0.94,0,Linux,23400000
Razer,AMD Ryzen 5,8,1024,NVMe SSD,NVIDIA RTX 3060,15.6,165,59.1,2.24,1,Linux,14800000
Razer,Intel Core i7,32,1024,NVMe SSD,NVIDIA RTX 4060,14.0,60,39.9,2.38,0,Linux,51800000
HP,AMD Ryzen 5,16,512,HDD,NVIDIA RTX 4060,17.3,60,40.0,1.87,1,Windows 10,10700000
Acer,Intel Core i9,8,512,HDD,AMD Radeon RX 6600,15.6,165,47.5,1.58,0,Windows 11,8700000
Lenovo,Intel Core i3,8,256,HDD,NVIDIA RTX 3060,11.6,165,54.6,1.14,0,Chrome OS,2600000
Apple,Apple M1,32,256,NVMe SSD,Apple GPU,13.3,165,83.2,2.23,1,macOS,45200000
Lenovo,Intel Core i5,32,128,HDD,NVIDIA RTX 3050,11.6,120,65.7,2.5,1,Windows 11,6500000
Dell,Intel Core i3,32,256,HDD,NVIDIA RTX 3060,14.0,90,82.8,1.46,0,Windows 11,8200000
Razer,AMD Ryzen 7,16,512,SSD,NVIDIA RTX 3050,13.3,144,57.4,2.85,0,Chrome OS,15300000
Acer,AMD Ryzen 9,8,128,SSD,NVIDIA RTX 4060,14.0,60,66.7,2.92,0,Linux,5800000
Asus,AMD Ryzen 3,4,512,NVMe SSD,NVIDIA GTX 1650,14.0,144,72.8,2.66,0,Linux,2500000
Dell,Intel Core i5,16,512,HDD,NVIDIA GTX 1650,17.3,60,85.6,1.62,0,Chrome OS,6300000
Asus,Intel Core i7,64,1024,NVMe SSD,Integrated,13.3,60,95.0,1.06,0,Chrome OS,18800000
Razer,Intel Core i5,8,1024,SSD,NVIDIA GTX 1650,15.6,144,82.8,2.4,1,Linux,10400000
Toshiba,Intel Core i3,16,512,HDD,NVIDIA RTX 3050,13.3,60,89.9,1.83,1,Linux,4200000
MSI,Intel Core i7,16,1024,SSD,NVIDIA RTX 3050,15.6,60,38.4,2.81,0,Windows 10,18500000
Toshiba,Intel Core i7,16,512,SSD,AMD Radeon RX 6600,13.3,144,68.3,3.25,0,Chrome OS,9200000
HP,AMD Ryzen 5,16,512,NVMe SSD,AMD Radeon RX 6600,15.6,60,30.8,3.05,1,Chrome OS,8900000
Acer,AMD Ryzen 7,16,256,HDD,NVIDIA RTX 3050,14.0,120,71.6,2.82,0,Windows 11,6400000
Toshiba,AMD Ryzen 9,32,2048,HDD,NVIDIA RTX 3070,11.6,60,32.2,2.93,0,Linux,32100000
Dell,AMD Ryzen 7,8,512,SSD,AMD Radeon RX 6600,11.6,144,39.7,2.69,1,Windows 11,9100000
Asus,Intel Core i3,8,512,HDD,NVIDIA GTX 1650,17.3,60,93.9,2.37,0,Windows 10,3300000
MSI,Intel Core i3,4,512,NVMe SSD,NVIDIA RTX 3070,13.3,90,77.9,2.28,0,Linux,4400000
Lenovo,Intel Core i5,16,256,HDD,Integrated,15.6,120,38.1,2.49,1,Chrome OS,3500000
Asus,Intel Core i7,16,1024,NVMe SSD,NVIDIA RTX 3060,16.0,90,60.7,3.24,1,Linux,19100000
Acer,Intel Core i9,8,256,SSD,NVIDIA RTX 3050,16.0,240,79.7,1.15,0,Chrome OS,7400000
Razer,AMD Ryzen 7,32,1024,NVMe SSD,NVIDIA GTX 1650,13.3,60,52.2,1.64,0,Windows 11,29000000
Apple,Apple M2,32,256,NVMe SSD,Apple GPU,15.6,144,56.5,3.28,0,macOS,47500000
Samsung,AMD Ryzen 7,16,256,SSD,NVIDIA RTX 3070,14.0,120,69.2,3.05,1,Windows 11,13500000
HP,AMD Ryzen 3,16,256,SSD,NVIDIA RTX 4060,17.3,60,84.8,1.59,1,Chrome OS,5800000
Apple,Apple M2,8,256,SSD,Apple GPU,13.3,120,73.6,1.48,0,macOS,19100000
Samsung,Intel Core i7,16,256,HDD,NVIDIA GTX 1650,11.6,60,33.7,1.32,0,Windows 10,6600000
Acer,AMD Ryzen 3,8,256,NVMe SSD,NVIDIA RTX 3070,13.3,60,94.9,1.99,0,Windows 10,3300000
Acer,AMD Ryzen 7,8,128,NVMe SSD,Integrated,15.6,60,55.5,2.37,0,Windows 10,3200000
Samsung,AMD Ryzen 7,16,256,NVMe SSD,AMD Radeon RX 6600,15.6,60,58.7,1.32,0,Linux,11100000
Toshiba,Intel Core i9,16,256,HDD,NVIDIA RTX 4060,17.3,90,82.7,1.03,0,Chrome OS,9900000
HP,Intel Core i9,8,256,NVMe SSD,NVIDIA RTX 4060,16.0,60,83.2,1.3,0,Linux,9800000
Lenovo,AMD Ryzen 3,8,512,SSD,NVIDIA RTX 3060,16.0,60,47.3,3.44,0,Windows 10,4400000
Dell,AMD Ryzen 5,8,512,SSD,NVIDIA RTX 3050,11.6,60,39.9,2.32,0,Linux,5400000
MSI,AMD Ryzen 7,4,512,SSD,NVIDIA RTX 3060,15.6,120,98.4,2.96,0,Windows 11,9200000
HP,AMD Ryzen 3,16,512,NVMe SSD,NVIDIA GTX 1650,15.6,60,76.6,2.2,0,Chrome OS,4500000
Apple,Apple M2,4,1024,SSD,Apple GPU,11.6,60,92.3,3.48,0,macOS,21100000
Toshiba,AMD Ryzen 7,8,2048,NVMe SSD,NVIDIA GTX 1650,14.0,165,97.5,1.25,0,Windows 10,10100000
Toshiba,AMD Ryzen 7,16,256,HDD,NVIDIA RTX 3070,17.3,60,39.2,2.48,1,Windows 11,8800000
Razer,Intel Core i5,32,256,HDD,NVIDIA GTX 1650,15.6,144,31.9,2.52,1,Chrome OS,11300000
HP,Intel Core i9,16,1024,NVMe SSD,NVIDIA RTX 4060,13.3,120,33.5,3.21,0,Chrome OS,25100000
Samsung,AMD Ryzen 3,32,256,SSD,NVIDIA RTX 4060,13.3,144,94.2,1.96,0,Windows 10,13000000
Dell,AMD Ryzen 9,16,1024,HDD,Integrated,14.0,165,47.8,2.87,0,Windows 11,12100000
Acer,AMD Ryzen 9,4,1024,NVMe SSD,NVIDIA RTX 4060,11.6,60,76.6,2.35,0,Linux,10300000
Dell,AMD Ryzen 7,8,128,SSD,NVIDIA RTX 3050,14.0,120,55.0,1.56,0,Chrome OS,4100000
Samsung,Intel Core i9,16,1024,HDD,NVIDIA RTX 3070,17.3,60,76.6,3.47,0,Linux,23100000
Apple,Apple M2,16,1024,SSD,Apple GPU,14.0,90,92.4,2.11,0,macOS,54800000
Asus,Intel Core i3,16,512,SSD,NVIDIA RTX 3070,11.6,120,74.3,1.23,0,Windows 10,8800000
Dell,Intel Core i7,8,1024,SSD,NVIDIA RTX 3050,16.0,120,31.8,1.64,0,Windows 10,12000000
MSI,Intel Core i7,16,256,SSD,NVIDIA RTX 3060,14.0,144,49.4,2.91,0,Chrome OS,10800000
Apple,Apple M2,32,512,SSD,Apple GPU,14.0,120,78.3,1.56,0,macOS,67300000
Asus,Intel Core i7,32,256,SSD,NVIDIA RTX 3050,16.0,60,99.8,2.72,1,Chrome OS,11400000
Acer,AMD Ryzen 9,32,1024,HDD,Integrated,11.6,120,97.7,2.53,1,Chrome OS,14200000
Toshiba,AMD Ryzen 5,8,512,HDD,AMD Radeon RX 6600,11.6,120,56.4,1.06,0,Windows 11,4500000
Asus,Intel Core i7,32,1024,SSD,NVIDIA RTX 4060,17.3,120,91.8,1.98,0,Chrome OS,26100000
MSI,Intel Core i9,16,1024,NVMe SSD,NVIDIA RTX 4060,11.6,120,96.8,1.29,0,Windows 10,32200000
Dell,Intel Core i3,16,128,HDD,NVIDIA RTX 3060,15.6,120,44.6,1.05,0,Windows 11,4900000
Razer,Intel Core i7,8,512,NVMe SSD,NVIDIA RTX 3070,14.0,60,69.6,3.26,0,Chrome OS,12700000
Dell,AMD Ryzen 3,32,512,SSD,AMD Radeon RX 6600,15.6,165,44.1,1.72,1,Windows 11,14100000
Dell,Intel Core i5,32,256,NVMe SSD,NVIDIA RTX 3070,13.3,120,99.1,1.75,0,Windows 10,15000000
Lenovo,AMD Ryzen 3,16,1024,SSD,Integrated,17.3,60,73.3,1.79,1,Windows 10,7500000
Asus,AMD Ryzen 3,8,256,NVMe SSD,NVIDIA GTX 1650,14.0,165,43.2,2.09,1,Linux,3100000
Dell,Intel Core i5,32,512,SSD,Integrated,15.6,60,95.5,2.11,0,Chrome OS,8400000
Apple,Apple M1,16,256,SSD,Apple GPU,16.0,60,72.3,2.89,0,macOS,25100000
HP,Intel Core i7,8,256,HDD,NVIDIA RTX 3060,17.3,144,65.8,2.16,0,Windows 10,6000000
Dell,Intel Core i9,8,512,NVMe SSD,NVIDIA RTX 3070,16.0,60,99.6,1.42,0,Linux,11600000
Toshiba,AMD Ryzen 9,32,2048,HDD,Integrated,15.6,60,38.6,2.25,0,Chrome OS,18300000
MSI,AMD Ryzen 3,32,256,SSD,Integrated,15.6,120,35.4,0.91,0,Linux,6500000
Samsung,Intel Core i9,64,128,SSD,Integrated,13.3,60,72.0,2.79,0,Chrome OS,10300000
Acer,AMD Ryzen 7,8,512,NVMe SSD,NVIDIA GTX 1650,16.0,60,63.3,3.3,0,Windows 10,6900000
HP,AMD Ryzen 7,64,1024,SSD,NVIDIA GTX 1650,11.6,60,74.2,2.82,0,Windows 11,26800000
HP,Intel Core i5,8,512,NVMe SSD,AMD Radeon RX 6600,15.6,60,90.6,1.06,0,Chrome OS,6100000
Apple,Apple M2,16,1024,NVMe SSD,Apple GPU,16.0,165,39.3,1.31,1,macOS,58200000
Samsung,AMD Ryzen 3,8,256,HDD,Integrated,14.0,60,79.1,2.43,1,Windows 11,2600000
Apple,Apple M1,8,256,SSD,Apple GPU,14.0,60,54.8,2.93,0,macOS,15000000
Razer,AMD Ryzen 3,8,512,NVMe SSD,Integrated,16.0,90,64.2,1.25,0,Windows 11,5500000
Razer,Intel Core i7,8,1024,NVMe SSD,NVIDIA RTX 4060,16.0,120,52.3,1.17,0,Windows 11,29900000
Asus,AMD Ryzen 9,8,256,HDD,NVIDIA GTX 1650,14.0,165,92.8,1.41,0,Linux,5900000
Lenovo,Intel Core i7,16,1024,HDD,NVIDIA RTX 3050,11.6,144,52.9,1.33,0,Linux,12400000
Lenovo,Intel Core i5,16,512,HDD,NVIDIA RTX 3070,11.6,120,35.7,1.13,0,Windows 11,9300000
Dell,AMD Ryzen 5,32,256,NVMe SSD,NVIDIA RTX 3060,13.3,165,95.3,0.95,0,Linux,12000000
Apple,Apple M2,16,512,SSD,Apple GPU,16.0,60,31.3,2.81,0,macOS,37500000
Razer,AMD Ryzen 3,8,1024,HDD,NVIDIA RTX 3050,16.0,144,77.2,1.52,1,Linux,8400000
Lenovo,AMD Ryzen 5,16,1024,NVMe SSD,NVIDIA RTX 3060,16.0,144,95.4,1.69,1,Chrome OS,12700000
Lenovo,Intel Core i5,16,512,SSD,AMD Radeon RX 6600,14.0,60,59.9,2.58,1,Windows 10,9400000
HP,AMD Ryzen 9,32,1024,NVMe SSD,NVIDIA RTX 3060,17.3,60,42.8,3.39,0,Windows 11,39900000
Samsung,Intel Core i7,32,256,NVMe SSD,NVIDIA GTX 1650,16.0,165,91.0,2.94,0,Chrome OS,12800000
Lenovo,AMD Ryzen 7,8,512,SSD,NVIDIA RTX 3070,14.0,144,65.7,1.21,0,Windows 10,10300000
Samsung,AMD Ryzen 7,32,256,NVMe SSD,NVIDIA RTX 3050,14.0,60,86.2,3.47,0,Windows 10,16700000
MSI,Intel Core i9,8,256,NVMe SSD,NVIDIA RTX 3050,14.0,60,97.2,1.47,0,Linux,10100000
Asus,Intel Core i5,16,512,HDD,NVIDIA RTX 3060,14.0,165,85.5,3.45,1,Linux,9100000
HP,Intel Core i9,32,256,HDD,AMD Radeon RX 6600,15.6,165,80.8,1.19,0,Windows 10,18700000
Samsung,Intel Core i7,8,1024,HDD,AMD Radeon RX 6600,16.0,240,39.7,0.93,0,Windows 10,14100000
Razer,Intel Core i5,32,512,NVMe SSD,NVIDIA RTX 4060,16.0,90,59.1,1.06,0,Windows 10,32600000
Dell,AMD Ryzen 3,8,1024,SSD,NVIDIA RTX 3070,13.3,60,77.1,1.26,0,Windows 11,8000000
Dell,AMD Ryzen 3,16,2048,SSD,NVIDIA GTX 1650,16.0,120,48.2,0.9,0,Linux,11800000
Lenovo,AMD Ryzen 5,16,256,SSD,NVIDIA RTX 4060,17.3,60,81.3,3.18,1,Chrome OS,8300000
Asus,AMD Ryzen 9,8,512,HDD,NVIDIA RTX 3060,11.6,240,80.3,1.19,0,Chrome OS,9300000
Asus,AMD Ryzen 3,16,1024,HDD,AMD Radeon RX 6600,17.3,240,30.7,2.92,0,Linux,8700000
Samsung,Intel Core i5,8,512,SSD,AMD Radeon RX 6600,17.3,120,57.9,3.14,0,Windows 10,7500000
Toshiba,Intel Core i7,8,1024,SSD,NVIDIA RTX 3050,17.3,120,99.4,3.37,0,Chrome OS,8000000
Apple,Apple M2,8,256,SSD,Apple GPU,17.3,90,56.4,3.18,1,macOS,22000000
Lenovo,AMD Ryzen 7,8,256,SSD,Integrated,17.3,60,94.1,2.77,0,Windows 10,4000000
Lenovo,Intel Core i7,32,512,HDD,NVIDIA RTX 3070,16.0,60,42.0,2.14,1,Windows 10,19400000
Toshiba,Intel Core i3,4,1024,NVMe SSD,NVIDIA GTX 1650,15.6,240,72.4,2.21,1,Chrome OS,2500000
Apple,Apple M2,8,512,NVMe SSD,Apple GPU,15.6,60,85.8,2.82,0,macOS,28300000
Lenovo,AMD Ryzen 5,64,256,NVMe SSD,Integrated,15.6,165,97.9,2.81,0,Windows 11,13500000
Razer,AMD Ryzen 3,32,512,NVMe SSD,NVIDIA GTX 1650,17.3,120,56.7,2.92,0,Windows 11,15600000
Razer,AMD Ryzen 5,16,1024,SSD,NVIDIA RTX 3050,11.6,60,53.4,1.72,0,Linux,13900000
Apple,Apple M2,32,512,NVMe SSD,Apple GPU,11.6,120,59.8,3.42,0,macOS,68400000
Asus,Intel Core i5,8,1024,NVMe SSD,NVIDIA GTX 1650,11.6,60,77.9,0.97,0,Windows 10,6700000
Toshiba,Intel Core i5,8,256,HDD,NVIDIA RTX 3050,17.3,60,50.9,1.13,1,Chrome OS,2500000
Razer,Intel Core i9,16,512,HDD,Integrated,13.3,120,81.9,2.32,1,Windows 11,14500000
Asus,Intel Core i5,16,256,HDD,NVIDIA RTX 3060,17.3,144,83.2,1.78,1,Windows 10,7600000
Razer,AMD Ryzen 3,32,512,SSD,NVIDIA RTX 3050,13.3,60,48.3,2.52,1,Linux,14200000
Asus,AMD Ryzen 5,16,256,HDD,NVIDIA RTX 3060,14.0,144,60.4,3.11,0,Windows 11,6700000
Dell,AMD Ryzen 9,16,128,SSD,NVIDIA RTX 4060,17.3,60,77.2,2.07,1,Windows 11,15500000
Dell,AMD Ryzen 7,8,512,NVMe SSD,NVIDIA RTX 4060,11.6,240,82.4,2.15,0,Windows 11,12900000
Toshiba,Intel Core i3,16,256,SSD,NVIDIA RTX 4060,15.6,60,60.0,1.04,0,Windows 11,4800000
Apple,Apple M2,16,256,NVMe SSD,Apple GPU,14.0,165,95.7,2.18,1,macOS,33700000
MSI,Intel Core i9,16,256,NVMe SSD,NVIDIA GTX 1650,14.0,144,53.8,3.16,0,Windows 10,13700000
Acer,Intel Core i7,32,256,NVMe SSD,NVIDIA RTX 3070,14.0,60,43.8,1.45,0,Windows 10,17300000
Samsung,Intel Core i7,16,1024,NVMe SSD,NVIDIA RTX 4060,15.6,60,36.5,2.28,1,Linux,27100000
HP,Intel Core i7,16,256,NVMe SSD,NVIDIA RTX 3060,13.3,60,79.8,3.24,0,Windows 11,10800000
MSI,AMD Ryzen 9,16,512,NVMe SSD,NVIDIA RTX 3050,11.6,144,58.6,1.63,0,Windows 11,20900000
Acer,Intel Core i9,8,512,HDD,NVIDIA RTX 3060,17.3,60,82.5,2.99,0,Chrome OS,7200000
Razer,Intel Core i3,4,512,SSD,NVIDIA RTX 4060,15.6,120,89.7,1.01,0,Windows 10,6600000
MSI,AMD Ryzen 9,16,512,HDD,NVIDIA GTX 1650,17.3,144,62.0,2.14,1,Linux,17200000
Toshiba,Intel Core i7,8,512,SSD,NVIDIA RTX 3060,14.0,60,85.4,1.95,0,Windows 11,7000000
Apple,Apple M1,8,256,SSD,Apple GPU,16.0,120,32.8,2.07,0,macOS,16500000
Acer,AMD Ryzen 5,32,512,NVMe SSD,Integrated,11.6,120,72.1,2.72,0,Chrome OS,6400000
Acer,Intel Core i7,8,256,NVMe SSD,AMD Radeon RX 6600,13.3,120,33.9,2.16,1,Windows 10,5500000
HP,AMD Ryzen 7,32,1024,SSD,NVIDIA GTX 1650,15.6,60,97.5,1.88,0,Linux,18700000
Acer,AMD Ryzen 7,16,1024,NVMe SSD,NVIDIA GTX 1650,16.0,60,67.6,1.4,1,Windows 10,14200000
Samsung,AMD Ryzen 7,8,256,NVMe SSD,NVIDIA RTX 3060,16.0,165,56.1,1.44,0,Chrome OS,7400000
Apple,Apple M2,8,2048,SSD,Apple GPU,16.0,90,39.1,1.43,1,macOS,50900000
Razer,Intel Core i5,16,1024,HDD,Integrated,17.3,60,73.5,1.21,1,Chrome OS,8900000
Apple,Apple M1,32,256,NVMe SSD,Apple GPU,17.3,144,49.3,1.76,1,macOS,53700000
